 a
0 b
vnpadvmod auo
vnpadvmod_advcl aup
vnpadvmod_advmod auq
vnpadvmod_amod aur
vnpadvmod_ccomp aus
vnpadvmod_conj_and aut
vnpadvmod_conj_but auu
vnpadvmod_dep auv
vnpadvmod_det auw
vnpadvmod_dobj aux
vnpadvmod_expl auy
vnpadvmod_na auz
vnpadvmod_nn ava
vnpadvmod_npadvmod avb
vnpadvmod_nsubj avc
vnpadvmod_num avd
vnpadvmod_partmod ave
vnpadvmod_pcomp avf
vnpadvmod_pobj avg
vnpadvmod_prep avh
vnpadvmod_prep_about avi
vnpadvmod_prep_above avj
vnpadvmod_prep_across avk
vnpadvmod_prep_after avl
vnpadvmod_prep_ahead_of avm
vnpadvmod_prep_along avn
vnpadvmod_prep_around avo
vnpadvmod_prep_as avp
vnpadvmod_prep_at avq
vnpadvmod_prep_below avr
vnpadvmod_prep_beneath avs
vnpadvmod_prep_between avt
vnpadvmod_prep_by avu
vnpadvmod_prep_down avv
vnpadvmod_prep_from avw
vnpadvmod_prep_like avx
vnpadvmod_prep_next_to avy
vnpadvmod_prep_of avz
vnpadvmod_prep_off awa
vnpadvmod_prep_on awb
vnpadvmod_prep_on_top_of awc
vnpadvmod_prep_outside_of awd
vnpadvmod_prep_over awe
vnpadvmod_prep_past awf
vnpadvmod_prep_through awg
vnpadvmod_prep_to awh
vnpadvmod_prep_towards awi
vnpadvmod_prep_underneath awj
vnpadvmod_prep_with awk
vnpadvmod_rcmod awl
vnpadvmod_rel awm
vnpadvmod_root awn
vnpadvmod_xcomp awo
vnsubj awp
vnsubj_acomp awq
vnsubj_advcl awr
vnsubj_advmod aws
vnsubj_agent awt
vnsubj_amod awu
vnsubj_aux awv
vnsubj_cc aww
vnsubj_ccomp awx
vnsubj_conj_and awy
vnsubj_conj_but awz
vnsubj_conj_just axa
vnsubj_conj_negcc axb
vnsubj_conj_or axc
vnsubj_csubj axd
vnsubj_dep axe
vnsubj_det axf
vnsubj_dobj axg
vnsubj_expl axh
vnsubj_iobj axi
vnsubj_mark axj
vnsubj_na axk
vnsubj_neg axl
vnsubj_nn axm
vnsubj_npadvmod axn
vnsubj_nsubj axo
vnsubj_nsubjpass axp
vnsubj_num axq
vnsubj_partmod axr
vnsubj_pcomp axs
vnsubj_pobj axt
vnsubj_poss axu
vnsubj_predet axv
vnsubj_prep axw
vnsubj_prep_about axx
vnsubj_prep_above axy
vnsubj_prep_across axz
vnsubj_prep_across_from aya
vnsubj_prep_after ayb
vnsubj_prep_along ayc
vnsubj_prep_alongside ayd
vnsubj_prep_around aye
vnsubj_prep_as ayf
vnsubj_prep_at ayg
vnsubj_prep_away_from ayh
vnsubj_prep_before ayi
vnsubj_prep_below ayj
vnsubj_prep_beneath ayk
vnsubj_prep_beside ayl
vnsubj_prep_between aym
vnsubj_prep_beyond ayn
vnsubj_prep_by ayo
vnsubj_prep_close_to ayp
vnsubj_prep_down ayq
vnsubj_prep_far_from ayr
vnsubj_prep_for ays
vnsubj_prep_from ayt
vnsubj_prep_in ayu
vnsubj_prep_in_front_of ayv
vnsubj_prep_inside ayw
vnsubj_prep_into ayx
vnsubj_prep_it's ayy
vnsubj_prep_like ayz
vnsubj_prep_near aza
vnsubj_prep_nearer azb
vnsubj_prep_next_to azc
vnsubj_prep_of azd
vnsubj_prep_off aze
vnsubj_prep_on azf
vnsubj_prep_on_top_of azg
vnsubj_prep_onto azh
vnsubj_prep_opposite azi
vnsubj_prep_out azj
vnsubj_prep_out_of azk
vnsubj_prep_outside azl
vnsubj_prep_over azm
vnsubj_prep_past azn
vnsubj_prep_starting azo
vnsubj_prep_than azp
vnsubj_prep_that azq
vnsubj_prep_that's azr
vnsubj_prep_through azs
vnsubj_prep_to azt
vnsubj_prep_towards azu
vnsubj_prep_under azv
vnsubj_prep_underneath azw
vnsubj_prep_until azx
vnsubj_prep_up azy
vnsubj_prep_where's azz
vnsubj_prep_with baa
vnsubj_prep_with_respect_to bab
vnsubj_prep_within bac
vnsubj_prepc_above bad
vnsubj_prepc_at bae
vnsubj_prepc_in baf
vnsubj_prepc_of bag
vnsubj_prepc_to bah
vnsubj_prepc_towards bai
vnsubj_prepc_under baj
vnsubj_prepc_underneath bak
vnsubj_quantmod bal
vnsubj_rcmod bam
vnsubj_rel ban
vnsubj_root bao
vnsubj_tmod bap
vnsubj_xcomp baq
vnsubjpass bar
vnsubjpass_conj_and bas
vnsubjpass_dobj bat
vnsubjpass_nn bau
vnsubjpass_nsubjpass bav
vnsubjpass_pobj baw
vnsubjpass_prep_above bax
vnsubjpass_prep_at bay
vnsubjpass_root baz
vnsubjpass_xcomp bba
vnull bbb
vnull_dctc bbc
vnull_def bbd
vnull_dem bbe
vnull_demnum bbf
vnull_el bbg
vnull_indef bbh
vnull_null bbi
vnull_num bbj
vnull_numpro bbk
vnull_poss bbl
vnull_posspro bbm
vnull_pro bbn
vnull_relpro bbo
vnum bbp
vnum_advcl bbq
vnum_amod bbr
vnum_conj_and bbs
vnum_dctc bbt
vnum_def bbu
vnum_dep bbv
vnum_dobj bbw
vnum_el bbx
vnum_indef bby
vnum_iobj bbz
vnum_nsubj bca
vnum_null bcb
vnum_num bcc
vnum_numpro bcd
vnum_poss bce
vnum_posspro bcf
vnum_prep_above bcg
vnum_prep_at bch
vnum_prep_below bci
vnum_prep_between bcj
vnum_prep_from bck
vnum_prep_in bcl
vnum_prep_of bcm
vnum_prep_underneath bcn
vnum_pro bco
vnum_root bcp
vnumpro bcq
vnumpro_dctc bcr
vnumpro_def bcs
vnumpro_dem bct
vnumpro_demnum bcu
vnumpro_el bcv
vnumpro_indef bcw
vnumpro_null bcx
vnumpro_num bcy
vnumpro_numpro bcz
vnumpro_poss bda
vnumpro_pro bdb
vpartmod bdc
vpartmod_acomp bdd
vpartmod_advcl bde
vpartmod_advmod bdf
vpartmod_amod bdg
vpartmod_ccomp bdh
vpartmod_conj_and bdi
vpartmod_conj_but bdj
vpartmod_conj_or bdk
vpartmod_csubj bdl
vpartmod_dep bdm
vpartmod_det bdn
vpartmod_dobj bdo
vpartmod_expl bdp
vpartmod_mark bdq
vpartmod_na bdr
vpartmod_nn bds
vpartmod_npadvmod bdt
vpartmod_nsubj bdu
vpartmod_partmod bdv
vpartmod_pcomp bdw
vpartmod_pobj bdx
vpartmod_prep bdy
vpartmod_prep_about bdz
vpartmod_prep_above bea
vpartmod_prep_across_from beb
vpartmod_prep_after bec
vpartmod_prep_along bed
vpartmod_prep_alongside bee
vpartmod_prep_around bef
vpartmod_prep_at beg
vpartmod_prep_away_from beh
vpartmod_prep_below bei
vpartmod_prep_beside bej
vpartmod_prep_between bek
vpartmod_prep_down bel
vpartmod_prep_for bem
vpartmod_prep_from ben
vpartmod_prep_in beo
vpartmod_prep_into bep
vpartmod_prep_like beq
vpartmod_prep_of ber
vpartmod_prep_on bes
vpartmod_prep_over bet
vpartmod_prep_past beu
vpartmod_prep_starting bev
vpartmod_prep_through bew
vpartmod_prep_to bex
vpartmod_prep_towards bey
vpartmod_prep_under bez
vpartmod_prep_underneath bfa
vpartmod_prep_until bfb
vpartmod_prep_with bfc
vpartmod_prepc_above bfd
vpartmod_prepc_from bfe
vpartmod_prepc_like bff
vpartmod_prepc_of bfg
vpartmod_prepc_to bfh
vpartmod_rcmod bfi
vpartmod_root bfj
vpartmod_tmod bfk
vpartmod_xcomp bfl
vpcomp bfm
vpcomp_acomp bfn
vpcomp_advcl bfo
vpcomp_advmod bfp
vpcomp_amod bfq
vpcomp_ccomp bfr
vpcomp_conj bfs
vpcomp_conj_and bft
vpcomp_conj_but bfu
vpcomp_conj_negcc bfv
vpcomp_conj_or bfw
vpcomp_dep bfx
vpcomp_det bfy
vpcomp_dobj bfz
vpcomp_expl bga
vpcomp_infmod bgb
vpcomp_nn bgc
vpcomp_npadvmod bgd
vpcomp_nsubj bge
vpcomp_partmod bgf
vpcomp_pcomp bgg
vpcomp_pobj bgh
vpcomp_prep bgi
vpcomp_prep_about bgj
vpcomp_prep_above bgk
vpcomp_prep_across bgl
vpcomp_prep_after bgm
vpcomp_prep_around bgn
vpcomp_prep_at bgo
vpcomp_prep_away_from bgp
vpcomp_prep_below bgq
vpcomp_prep_between bgr
vpcomp_prep_down bgs
vpcomp_prep_from bgt
vpcomp_prep_in bgu
vpcomp_prep_of bgv
vpcomp_prep_on bgw
vpcomp_prep_over bgx
vpcomp_prep_through bgy
vpcomp_prep_to bgz
vpcomp_prep_towards bha
vpcomp_prep_under bhb
vpcomp_prep_until bhc
vpcomp_prep_with bhd
vpcomp_prepc_below bhe
vpcomp_prepc_from bhf
vpcomp_prepc_like bhg
vpcomp_prepc_of bhh
vpcomp_prepc_past bhi
vpcomp_prepc_to bhj
vpcomp_rcmod bhk
vpcomp_root bhl
vpcomp_xcomp bhm
vpobj bhn
vpobj_acomp bho
vpobj_advcl bhp
vpobj_advmod bhq
vpobj_agent bhr
vpobj_amod bhs
vpobj_ccomp bht
vpobj_conj_and bhu
vpobj_conj_but bhv
vpobj_conj_negcc bhw
vpobj_conj_or bhx
vpobj_csubj bhy
vpobj_dep bhz
vpobj_det bia
vpobj_dobj bib
vpobj_expl bic
vpobj_infmod bid
vpobj_iobj bie
vpobj_mark bif
vpobj_na big
vpobj_neg bih
vpobj_nn bii
vpobj_npadvmod bij
vpobj_nsubj bik
vpobj_nsubjpass bil
vpobj_num bim
vpobj_partmod bin
vpobj_pcomp bio
vpobj_pobj bip
vpobj_poss biq
vpobj_prep bir
vpobj_prep_about bis
vpobj_prep_above bit
vpobj_prep_across biu
vpobj_prep_across_from biv
vpobj_prep_after biw
vpobj_prep_along bix
vpobj_prep_alongside biy
vpobj_prep_apart_from biz
vpobj_prep_around bja
vpobj_prep_as bjb
vpobj_prep_at bjc
vpobj_prep_away_from bjd
vpobj_prep_because bje
vpobj_prep_before bjf
vpobj_prep_below bjg
vpobj_prep_beneath bjh
vpobj_prep_beside bji
vpobj_prep_between bjj
vpobj_prep_beyond bjk
vpobj_prep_by bjl
vpobj_prep_close_to bjm
vpobj_prep_down bjn
vpobj_prep_following bjo
vpobj_prep_for bjp
vpobj_prep_from bjq
vpobj_prep_if bjr
vpobj_prep_in bjs
vpobj_prep_in_front_of bjt
vpobj_prep_inside bju
vpobj_prep_instead_of bjv
vpobj_prep_into bjw
vpobj_prep_it's bjx
vpobj_prep_like bjy
vpobj_prep_near bjz
vpobj_prep_nearer bka
vpobj_prep_next_to bkb
vpobj_prep_of bkc
vpobj_prep_off bkd
vpobj_prep_on bke
vpobj_prep_on_top_of bkf
vpobj_prep_onto bkg
vpobj_prep_out_of bkh
vpobj_prep_outside bki
vpobj_prep_over bkj
vpobj_prep_past bkk
vpobj_prep_starting bkl
vpobj_prep_that bkm
vpobj_prep_that's bkn
vpobj_prep_through bko
vpobj_prep_to bkp
vpobj_prep_toward bkq
vpobj_prep_towards bkr
vpobj_prep_under bks
vpobj_prep_underneath bkt
vpobj_prep_until bku
vpobj_prep_up bkv
vpobj_prep_with bkw
vpobj_prep_within bkx
vpobj_prepc_about bky
vpobj_prepc_below bkz
vpobj_prepc_by bla
vpobj_prepc_from blb
vpobj_prepc_like blc
vpobj_prepc_of bld
vpobj_prepc_past ble
vpobj_prepc_to blf
vpobj_prepc_towards blg
vpobj_rcmod blh
vpobj_rel bli
vpobj_root blj
vpobj_tmod blk
vpobj_xcomp bll
vposs blm
vposs_ccomp bln
vposs_conj_and blo
vposs_dctc blp
vposs_def blq
vposs_dem blr
vposs_demnum bls
vposs_dep blt
vposs_dobj blu
vposs_el blv
vposs_indef blw
vposs_nn blx
vposs_nsubj bly
vposs_null blz
vposs_num bma
vposs_numpro bmb
vposs_pobj bmc
vposs_poss bmd
vposs_posspro bme
vposs_prep_above bmf
vposs_prep_at bmg
vposs_prep_below bmh
vposs_prep_between bmi
vposs_prep_beyond bmj
vposs_prep_next_to bmk
vposs_prep_of bml
vposs_prep_past bmm
vposs_pro bmn
vposs_relpro bmo
vposs_root bmp
vposspro bmq
vposspro_def bmr
vposspro_demnum bms
vposspro_el bmt
vposspro_indef bmu
vposspro_null bmv
vposspro_numpro bmw
vposspro_poss bmx
vposspro_posspro bmy
vposspro_pro bmz
vpredet bna
vpredet_nsubj bnb
vprep bnc
vprep_a-- bnd
vprep_a--_dobj bne
vprep_a--_prep_to bnf
vprep_about bng
vprep_about_acomp bnh
vprep_about_advcl bni
vprep_about_advmod bnj
vprep_about_amod bnk
vprep_about_ccomp bnl
vprep_about_conj_and bnm
vprep_about_conj_but bnn
vprep_about_csubj bno
vprep_about_dep bnp
vprep_about_det bnq
vprep_about_dobj bnr
vprep_about_nn bns
vprep_about_nsubj bnt
vprep_about_partmod bnu
vprep_about_pcomp bnv
vprep_about_pobj bnw
vprep_about_prep bnx
vprep_about_prep_about bny
vprep_about_prep_above bnz
vprep_about_prep_across boa
vprep_about_prep_along bob
vprep_about_prep_as boc
vprep_about_prep_at bod
vprep_about_prep_before boe
vprep_about_prep_below bof
vprep_about_prep_beside bog
vprep_about_prep_between boh
vprep_about_prep_down boi
vprep_about_prep_from boj
vprep_about_prep_in bok
vprep_about_prep_instead_of bol
vprep_about_prep_near bom
vprep_about_prep_of bon
vprep_about_prep_on boo
vprep_about_prep_over bop
vprep_about_prep_past boq
vprep_about_prep_through bor
vprep_about_prep_to bos
vprep_about_prep_towards bot
vprep_about_prep_under bou
vprep_about_prep_underneath bov
vprep_about_prep_with bow
vprep_about_prepc_below box
vprep_about_prepc_of boy
vprep_about_prepc_over boz
vprep_about_prepc_underneath bpa
vprep_about_rcmod bpb
vprep_about_root bpc
vprep_about_xcomp bpd
vprep_above bpe
vprep_above_acomp bpf
vprep_above_advcl bpg
vprep_above_advmod bph
vprep_above_agent bpi
vprep_above_amod bpj
vprep_above_attr bpk
vprep_above_ccomp bpl
vprep_above_conj_and bpm
vprep_above_conj_but bpn
vprep_above_conj_or bpo
vprep_above_csubj bpp
vprep_above_dep bpq
vprep_above_det bpr
vprep_above_dobj bps
vprep_above_expl bpt
vprep_above_iobj bpu
vprep_above_mark bpv
vprep_above_na bpw
vprep_above_neg bpx
vprep_above_nn bpy
vprep_above_npadvmod bpz
vprep_above_nsubj bqa
vprep_above_nsubjpass bqb
vprep_above_num bqc
vprep_above_partmod bqd
vprep_above_pcomp bqe
vprep_above_pobj bqf
vprep_above_poss bqg
vprep_above_predet bqh
vprep_above_prep bqi
vprep_above_prep_a-- bqj
vprep_above_prep_about bqk
vprep_above_prep_above bql
vprep_above_prep_across bqm
vprep_above_prep_ahead_of bqn
vprep_above_prep_along bqo
vprep_above_prep_around bqp
vprep_above_prep_as bqq
vprep_above_prep_at bqr
vprep_above_prep_away_from bqs
vprep_above_prep_before bqt
vprep_above_prep_below bqu
vprep_above_prep_beneath bqv
vprep_above_prep_beside bqw
vprep_above_prep_between bqx
vprep_above_prep_beyond bqy
vprep_above_prep_by bqz
vprep_above_prep_down bra
vprep_above_prep_for brb
vprep_above_prep_from brc
vprep_above_prep_in brd
vprep_above_prep_into bre
vprep_above_prep_like brf
vprep_above_prep_near brg
vprep_above_prep_next_to brh
vprep_above_prep_of bri
vprep_above_prep_off brj
vprep_above_prep_on brk
vprep_above_prep_on_top_of brl
vprep_above_prep_onto brm
vprep_above_prep_over brn
vprep_above_prep_past bro
vprep_above_prep_starting brp
vprep_above_prep_that brq
vprep_above_prep_through brr
vprep_above_prep_to brs
vprep_above_prep_towards brt
vprep_above_prep_under bru
vprep_above_prep_underneath brv
vprep_above_prep_until brw
vprep_above_prep_up brx
vprep_above_prep_with bry
vprep_above_prepc_around brz
vprep_above_prepc_instead_of bsa
vprep_above_prepc_of bsb
vprep_above_prepc_under bsc
vprep_above_rcmod bsd
vprep_above_rel bse
vprep_above_root bsf
vprep_above_tmod bsg
vprep_above_xcomp bsh
vprep_across bsi
vprep_across_advcl bsj
vprep_across_advmod bsk
vprep_across_ccomp bsl
vprep_across_dep bsm
vprep_across_dobj bsn
vprep_across_from bso
vprep_across_from_ccomp bsp
vprep_across_from_dep bsq
vprep_across_from_dobj bsr
vprep_across_from_na bss
vprep_across_from_nn bst
vprep_across_from_nsubj bsu
vprep_across_from_pobj bsv
vprep_across_from_prep_above bsw
vprep_across_from_prep_at bsx
vprep_across_from_prep_into bsy
vprep_across_from_prep_of bsz
vprep_across_from_prep_that bta
vprep_across_from_root btb
vprep_across_from_tmod btc
vprep_across_from_xcomp btd
vprep_across_nn bte
vprep_across_nsubj btf
vprep_across_pcomp btg
vprep_across_pobj bth
vprep_across_prep_above bti
vprep_across_prep_across btj
vprep_across_prep_at btk
vprep_across_prep_below btl
vprep_across_prep_between btm
vprep_across_prep_from btn
vprep_across_prep_of bto
vprep_across_prep_past btp
vprep_across_prep_to btq
vprep_across_prep_toward btr
vprep_across_prep_under bts
vprep_across_prep_with btt
vprep_across_root btu
vprep_across_xcomp btv
vprep_advcl btw
vprep_advmod btx
vprep_after bty
vprep_after_advmod btz
vprep_after_amod bua
vprep_after_conj_and bub
vprep_after_dobj buc
vprep_after_mark bud
vprep_after_nn bue
vprep_after_nsubj buf
vprep_after_pobj bug
vprep_after_prep_above buh
vprep_after_prep_across bui
vprep_after_prep_after buj
vprep_after_prep_along buk
vprep_after_prep_as bul
vprep_after_prep_at bum
vprep_after_prep_below bun
vprep_after_prep_from buo
vprep_after_prep_next_to bup
vprep_after_prep_of buq
vprep_after_prep_past bur
vprep_after_prep_through bus
vprep_after_prep_to but
vprep_after_prep_towards buu
vprep_after_prep_underneath buv
vprep_after_root buw
vprep_after_xcomp bux
vprep_ahead_of buy
vprep_ahead_of_dobj buz
vprep_ahead_of_root bva
vprep_along bvb
vprep_along_advcl bvc
vprep_along_advmod bvd
vprep_along_ccomp bve
vprep_along_conj_and bvf
vprep_along_dep bvg
vprep_along_dobj bvh
vprep_along_neg bvi
vprep_along_nn bvj
vprep_along_nsubj bvk
vprep_along_partmod bvl
vprep_along_pcomp bvm
vprep_along_pobj bvn
vprep_along_prep_about bvo
vprep_along_prep_above bvp
vprep_along_prep_across bvq
vprep_along_prep_along bvr
vprep_along_prep_as bvs
vprep_along_prep_at bvt
vprep_along_prep_below bvu
vprep_along_prep_from bvv
vprep_along_prep_in bvw
vprep_along_prep_into bvx
vprep_along_prep_of bvy
vprep_along_prep_on bvz
vprep_along_prep_over bwa
vprep_along_prep_past bwb
vprep_along_prep_to bwc
vprep_along_prep_towards bwd
vprep_along_prep_underneath bwe
vprep_along_prep_with bwf
vprep_along_prepc_of bwg
vprep_along_rcmod bwh
vprep_along_root bwi
vprep_along_xcomp bwj
vprep_alongside bwk
vprep_alongside_prep_past bwl
vprep_amod bwm
vprep_apart_from bwn
vprep_apart_from_advmod bwo
vprep_apart_from_ccomp bwp
vprep_apart_from_conj_and bwq
vprep_apart_from_dep bwr
vprep_apart_from_dobj bws
vprep_apart_from_nsubj bwt
vprep_apart_from_pobj bwu
vprep_apart_from_poss bwv
vprep_apart_from_prep_above bww
vprep_apart_from_prep_as bwx
vprep_apart_from_prep_at bwy
vprep_apart_from_prep_below bwz
vprep_apart_from_prep_between bxa
vprep_apart_from_prep_next_to bxb
vprep_apart_from_prep_to bxc
vprep_apart_from_prep_under bxd
vprep_apart_from_root bxe
vprep_around bxf
vprep_around_advmod bxg
vprep_around_ccomp bxh
vprep_around_dep bxi
vprep_around_dobj bxj
vprep_around_nn bxk
vprep_around_nsubj bxl
vprep_around_partmod bxm
vprep_around_pcomp bxn
vprep_around_pobj bxo
vprep_around_prep_above bxp
vprep_around_prep_around bxq
vprep_around_prep_at bxr
vprep_around_prep_away_from bxs
vprep_around_prep_below bxt
vprep_around_prep_from bxu
vprep_around_prep_of bxv
vprep_around_prep_past bxw
vprep_around_prep_to bxx
vprep_around_prep_towards bxy
vprep_around_prepc_of bxz
vprep_around_rcmod bya
vprep_around_root byb
vprep_around_tmod byc
vprep_around_xcomp byd
vprep_as bye
vprep_as_advmod byf
vprep_as_amod byg
vprep_as_ccomp byh
vprep_as_conj_and byi
vprep_as_dep byj
vprep_as_det byk
vprep_as_dobj byl
vprep_as_iobj bym
vprep_as_mark byn
vprep_as_na byo
vprep_as_nn byp
vprep_as_nsubj byq
vprep_as_pobj byr
vprep_as_poss bys
vprep_as_prep_above byt
vprep_as_prep_across byu
vprep_as_prep_across_from byv
vprep_as_prep_as byw
vprep_as_prep_at byx
vprep_as_prep_because byy
vprep_as_prep_before byz
vprep_as_prep_below bza
vprep_as_prep_beneath bzb
vprep_as_prep_beside bzc
vprep_as_prep_between bzd
vprep_as_prep_beyond bze
vprep_as_prep_from bzf
vprep_as_prep_in bzg
vprep_as_prep_into bzh
vprep_as_prep_like bzi
vprep_as_prep_near bzj
vprep_as_prep_of bzk
vprep_as_prep_on bzl
vprep_as_prep_over bzm
vprep_as_prep_past bzn
vprep_as_prep_that bzo
vprep_as_prep_through bzp
vprep_as_prep_to bzq
vprep_as_prep_towards bzr
vprep_as_prep_under bzs
vprep_as_prep_underneath bzt
vprep_as_prep_with bzu
vprep_as_prepc_to bzv
vprep_as_rcmod bzw
vprep_as_root bzx
vprep_as_tmod bzy
vprep_as_xcomp bzz
vprep_at caa
vprep_at_acomp cab
vprep_at_advcl cac
vprep_at_advmod cad
vprep_at_amod cae
vprep_at_ccomp caf
vprep_at_conj_and cag
vprep_at_conj_but cah
vprep_at_conj_just cai
vprep_at_conj_or caj
vprep_at_csubj cak
vprep_at_dep cal
vprep_at_det cam
vprep_at_dobj can
vprep_at_mark cao
vprep_at_neg cap
vprep_at_nn caq
vprep_at_npadvmod car
vprep_at_nsubj cas
vprep_at_partmod cat
vprep_at_pcomp cau
vprep_at_pobj cav
vprep_at_poss caw
vprep_at_prep cax
vprep_at_prep_about cay
vprep_at_prep_above caz
vprep_at_prep_after cba
vprep_at_prep_at cbb
vprep_at_prep_before cbc
vprep_at_prep_below cbd
vprep_at_prep_beneath cbe
vprep_at_prep_beside cbf
vprep_at_prep_between cbg
vprep_at_prep_by cbh
vprep_at_prep_for cbi
vprep_at_prep_from cbj
vprep_at_prep_in cbk
vprep_at_prep_into cbl
vprep_at_prep_like cbm
vprep_at_prep_near cbn
vprep_at_prep_of cbo
vprep_at_prep_on cbp
vprep_at_prep_out_of cbq
vprep_at_prep_over cbr
vprep_at_prep_past cbs
vprep_at_prep_than cbt
vprep_at_prep_through cbu
vprep_at_prep_to cbv
vprep_at_prep_towards cbw
vprep_at_prep_under cbx
vprep_at_prep_underneath cby
vprep_at_prep_with cbz
vprep_at_prepc_from cca
vprep_at_prepc_of ccb
vprep_at_prepc_past ccc
vprep_at_prepc_towards ccd
vprep_at_prepc_underneath cce
vprep_at_rcmod ccf
vprep_at_root ccg
vprep_at_tmod cch
vprep_at_xcomp cci
vprep_away_from ccj
vprep_away_from_acomp cck
vprep_away_from_advcl ccl
vprep_away_from_advmod ccm
vprep_away_from_ccomp ccn
vprep_away_from_dep cco
vprep_away_from_det ccp
vprep_away_from_dobj ccq
vprep_away_from_expl ccr
vprep_away_from_nn ccs
vprep_away_from_nsubj cct
vprep_away_from_nsubjpass ccu
vprep_away_from_pobj ccv
vprep_away_from_prep ccw
vprep_away_from_prep_above ccx
vprep_away_from_prep_across_from ccy
vprep_away_from_prep_as ccz
vprep_away_from_prep_at cda
vprep_away_from_prep_away_from cdb
vprep_away_from_prep_before cdc
vprep_away_from_prep_below cdd
vprep_away_from_prep_from cde
vprep_away_from_prep_of cdf
vprep_away_from_prep_off cdg
vprep_away_from_prep_opposite cdh
vprep_away_from_prep_over cdi
vprep_away_from_prep_to cdj
vprep_away_from_prep_underneath cdk
vprep_away_from_prep_with cdl
vprep_away_from_rcmod cdm
vprep_away_from_root cdn
vprep_away_from_xcomp cdo
vprep_because cdp
vprep_because_dobj cdq
vprep_because_of cdr
vprep_because_of_advmod cds
vprep_because_of_dep cdt
vprep_because_of_dobj cdu
vprep_because_of_na cdv
vprep_because_of_nn cdw
vprep_because_of_nsubj cdx
vprep_because_of_pobj cdy
vprep_because_of_prep_above cdz
vprep_because_of_prep_before cea
vprep_because_of_prep_below ceb
vprep_because_of_prep_from cec
vprep_because_of_prep_of ced
vprep_because_of_prep_on cee
vprep_because_of_prep_onto cef
vprep_because_of_prep_past ceg
vprep_because_of_prep_towards ceh
vprep_because_of_prep_under cei
vprep_because_of_root cej
vprep_because_prep_underneath cek
vprep_before cel
vprep_before_advcl cem
vprep_before_amod cen
vprep_before_ccomp ceo
vprep_before_dep cep
vprep_before_dobj ceq
vprep_before_mark cer
vprep_before_nsubj ces
vprep_before_pobj cet
vprep_before_prep_above ceu
vprep_before_prep_at cev
vprep_before_prep_before cew
vprep_before_prep_below cex
vprep_before_prep_beneath cey
vprep_before_prep_by cez
vprep_before_prep_from cfa
vprep_before_prep_of cfb
vprep_before_prep_past cfc
vprep_before_prep_to cfd
vprep_before_prep_towards cfe
vprep_before_prep_under cff
vprep_before_prep_underneath cfg
vprep_before_rcmod cfh
vprep_before_root cfi
vprep_below cfj
vprep_below_acomp cfk
vprep_below_advcl cfl
vprep_below_advmod cfm
vprep_below_agent cfn
vprep_below_amod cfo
vprep_below_ccomp cfp
vprep_below_conj_and cfq
vprep_below_conj_but cfr
vprep_below_conj_just cfs
vprep_below_conj_or cft
vprep_below_csubj cfu
vprep_below_dep cfv
vprep_below_det cfw
vprep_below_dobj cfx
vprep_below_expl cfy
vprep_below_infmod cfz
vprep_below_mark cga
vprep_below_na cgb
vprep_below_nn cgc
vprep_below_npadvmod cgd
vprep_below_nsubj cge
vprep_below_num cgf
vprep_below_partmod cgg
vprep_below_pcomp cgh
vprep_below_pobj cgi
vprep_below_poss cgj
vprep_below_prep cgk
vprep_below_prep_about cgl
vprep_below_prep_above cgm
vprep_below_prep_across cgn
vprep_below_prep_across_from cgo
vprep_below_prep_along cgp
vprep_below_prep_around cgq
vprep_below_prep_as cgr
vprep_below_prep_at cgs
vprep_below_prep_away_from cgt
vprep_below_prep_before cgu
vprep_below_prep_below cgv
vprep_below_prep_beneath cgw
vprep_below_prep_beside cgx
vprep_below_prep_between cgy
vprep_below_prep_beyond cgz
vprep_below_prep_by cha
vprep_below_prep_close_to chb
vprep_below_prep_down chc
vprep_below_prep_for chd
vprep_below_prep_from che
vprep_below_prep_in chf
vprep_below_prep_into chg
vprep_below_prep_near chh
vprep_below_prep_nearer chi
vprep_below_prep_next_to chj
vprep_below_prep_of chk
vprep_below_prep_off chl
vprep_below_prep_on chm
vprep_below_prep_on_top_of chn
vprep_below_prep_over cho
vprep_below_prep_past chp
vprep_below_prep_through chq
vprep_below_prep_to chr
vprep_below_prep_towards chs
vprep_below_prep_under cht
vprep_below_prep_underneath chu
vprep_below_prep_until chv
vprep_below_prep_up chw
vprep_below_prep_with chx
vprep_below_prep_within chy
vprep_below_prepc_below chz
vprep_below_prepc_of cia
vprep_below_rcmod cib
vprep_below_rel cic
vprep_below_root cid
vprep_below_tmod cie
vprep_below_xcomp cif
vprep_beneath cig
vprep_beneath_advcl cih
vprep_beneath_advmod cii
vprep_beneath_agent cij
vprep_beneath_amod cik
vprep_beneath_ccomp cil
vprep_beneath_conj_and cim
vprep_beneath_conj_but cin
vprep_beneath_csubj cio
vprep_beneath_dep cip
vprep_beneath_dobj ciq
vprep_beneath_mark cir
vprep_beneath_nn cis
vprep_beneath_nsubj cit
vprep_beneath_pobj ciu
vprep_beneath_prep_above civ
vprep_beneath_prep_after ciw
vprep_beneath_prep_as cix
vprep_beneath_prep_at ciy
vprep_beneath_prep_before ciz
vprep_beneath_prep_below cja
vprep_beneath_prep_beneath cjb
vprep_beneath_prep_from cjc
vprep_beneath_prep_near cjd
vprep_beneath_prep_next_to cje
vprep_beneath_prep_of cjf
vprep_beneath_prep_over cjg
vprep_beneath_prep_to cjh
